text_tag,grouped_text_tag
RESOLUTION PROCESS UNKNOWN,RESOLUTION PROCESS UNKNOWN
CONDUCTED OR ATTEMPTED TO CONDUCT AN INSPECTION,ATTEMPTED INSPECTION OF ORIGINAL PROPERTY (SUCCESS UNKNOWN)
ATTEMPTED AND FAILED TO INVESTIGATE ORIGINAL PROPERTY,ATTEMPTED AND FAILED INSPECTION
CONTACTED A TENANT,CONTACTED TENANT
ADVISED BY A TENANT IN THE BUILDING,CONTACTED TENANT
INSPECTED THE FOLLOWING CONDITIONS,INSPECTED ORIGINAL PROPERTY
CONTACTED AN OCCUPANT,CONTACTED TENANT
BY INSPECTING ANOTHER APARTMENT,BY INSPECTING ANOTHER APARTMENT
AT THE TIME OF THE INSPECTION,INSPECTED ORIGINAL PROPERTY
LITERATURE PREPARATION,LITERATURE PREPARATION