text_tag,tag_type
CONDITIONS WERE CORRECTED,outcome
COMPLAINT WAS ADDRESSED,outcome
NO VIOLATIONS WERE ISSUED,outcome
VIOLATION WAS ISSUED,outcome
VIOLATIONS WERE ISSUED,outcome
VIOLATIONS WERE PREVIOUSLY ISSUED,outcome
RESTORED,outcome
SECTION 8 FAILURE WAS ISSUED,outcome
NOT ABLE TO GAIN ACCESS,outcome
UNABLE TO ACCESS,outcome
COMPLAINT HAS BEEN CLOSED,outcome
COMPLAINT CONDITIONS ARE STILL OPEN,outcome
ORIGINAL COMPLAINT IS STILL OPEN,outcome
IDENTIFIED POTENTIAL LEAD,outcome
ALSO IDENTIFIED POTENTIAL LEAD,outcome
CLOSED THIS COMPLAINT ADMINISTRATIVELY,outcome
HEAT WAS NOT REQUIRED,outcome
DID NOT HAVE ENOUGH TIME TO INSPECT,outcome
HEAT OR HOT WATER WAS INADEQUATE,outcome
LITERATURE HAS BEEN MAILED,outcome
LITERATURE WAS EMAILED BUT WAS NOT RECEIVED,outcome
LITERATURE WILL BE EMAILED WITHIN 24 HOURS,outcome